session_id,plugin_time,plugout_time,duration_hours,energy_kwh,user_type,plugin_category,month
126,2019-01-23 23:26:00,2019-01-24 22:23:00,22.95,35.85,Shared,6,1
127,2020-01-21 22:29:00,2020-01-22 00:57:48,2.48,8.93,Private,6,1
128,2019-12-31 18:52:00,2019-12-31 22:11:48,3.33,11.99,Private,4,12
129,2019-06-30 08:23:00,2019-06-30 13:41:36,5.31,38.23,Shared,0,6
130,2019-03-15 14:59:00,2019-03-15 18:27:48,3.48,25.06,Shared,3,3
131,2019-02-01 08:38:00,2019-02-01 10:18:12,1.67,6.01,Private,0,2
132,2018-12-08 16:14:00,2018-12-08 21:26:00,5.2,18.72,Private,4,12
133,2020-01-31 11:18:00,2020-01-31 13:39:00,2.35,16.92,Private,1,1
134,2019-07-30 12:24:00,2019-07-30 19:18:00,6.9,24.84,Private,2,7
135,2019-02-08 02:49:00,2019-02-08 05:25:00,2.6,18.72,Shared,7,2
136,2019-04-16 23:46:00,2019-04-17 14:25:36,14.66,66.06,Private,6,4
137,2019-11-03 16:28:00,2019-11-03 19:19:36,2.86,20.59,Private,4,11
138,2019-09-05 15:55:00,2019-09-05 19:52:00,3.95,14.22,Private,3,9
139,2019-06-15 13:02:00,2019-06-15 21:47:00,8.75,60.96,Shared,2,6
140,2020-01-20 18:50:00,2020-01-20 20:55:24,2.09,7.52,Private,4,1
141,2019-08-15 02:55:00,2019-08-15 08:43:36,5.81,20.92,Private,7,8
142,2019-08-27 00:46:00,2019-08-27 13:08:12,12.37,42.55,Shared,7,8
143,2019-02-18 07:21:00,2019-02-18 08:57:36,1.61,11.59,Shared,0,2
144,2019-11-11 23:20:00,2019-11-12 04:58:24,5.64,40.61,Private,6,11
145,2019-01-05 13:14:00,2019-01-05 19:10:24,5.94,21.38,Private,2,1
146,2019-10-21 19:28:00,2019-10-22 04:01:36,8.56,30.82,Shared,5,10
147,2018-12-24 14:18:00,2018-12-24 16:22:48,2.08,14.98,Private,3,12
148,2019-08-29 18:50:00,2019-08-29 20:48:12,1.97,7.09,Private,4,8
149,2019-06-14 19:31:00,2019-06-15 02:39:24,7.14,25.7,Private,5,6
150,2019-07-24 12:57:00,2019-07-24 19:03:00,6.1,43.92,Shared,2,7
151,2019-02-19 07:37:00,2019-02-19 13:31:00,5.9,42.48,Private,0,2
152,2019-04-08 17:12:00,2019-04-08 23:30:36,6.31,45.43,Private,4,4
153,2019-06-14 21:18:00,2019-06-15 00:22:48,3.08,21.21,Shared,5,6
154,2019-06-21 14:58:00,2019-06-21 20:47:48,5.83,41.98,Shared,3,6
155,2020-01-02 23:14:00,2020-01-03 05:18:48,6.08,21.89,Shared,6,1
156,2019-12-05 22:40:00,2019-12-06 01:40:00,3.0,10.8,Private,6,12
157,2019-05-08 22:37:00,2019-05-09 16:53:48,18.28,60.28,Private,6,5
158,2019-05-01 15:11:00,2019-05-01 22:05:00,6.9,24.84,Private,3,5
159,2019-06-06 17:53:00,2019-06-06 20:02:00,2.15,7.74,Shared,4,6
160,2019-08-04 02:47:00,2019-08-04 10:37:24,7.84,56.45,Private,7,8
161,2019-01-08 09:55:00,2019-01-08 12:25:00,2.5,18.0,Shared,1,1
162,2019-06-06 10:00:00,2019-06-06 18:35:24,8.59,49.51,Private,1,6
163,2019-11-10 23:37:00,2019-11-11 10:46:00,11.15,65.23,Shared,6,11
164,2019-01-25 20:01:00,2019-01-25 22:48:24,2.79,20.09,Private,5,1
165,2019-01-02 20:58:00,2019-01-03 06:41:12,9.72,55.71,Private,5,1
166,2018-12-24 02:31:00,2018-12-24 09:07:36,6.61,23.8,Shared,7,12
167,2019-02-08 17:42:00,2019-02-09 02:30:36,8.81,52.3,Shared,4,2
168,2019-07-01 20:39:00,2019-07-02 15:20:24,18.69,71.65,Private,5,7
169,2019-11-19 15:28:00,2019-11-19 19:38:12,4.17,15.01,Private,3,11
170,2019-11-17 15:03:00,2019-11-17 17:58:12,2.92,21.02,Shared,3,11
171,2020-01-26 18:13:00,2020-01-26 20:52:36,2.66,9.58,Private,4,1
172,2019-02-03 22:04:00,2019-02-04 00:52:00,2.8,10.08,Shared,6,2
173,2019-03-30 14:50:00,2019-03-30 19:31:24,4.69,16.88,Shared,3,3
174,2019-02-05 16:07:00,2019-02-05 22:24:24,6.29,22.64,Private,4,2
175,2020-01-08 13:01:00,2020-01-08 19:01:36,6.01,21.64,Private,2,1
176,2019-07-04 18:04:00,2019-07-05 02:54:24,8.84,44.66,Private,4,7
177,2019-09-30 11:14:00,2019-09-30 16:14:00,5.0,18.0,Shared,1,9
178,2019-11-03 17:41:00,2019-11-04 07:23:00,13.7,23.35,Private,4,11
179,2019-06-24 16:31:00,2019-06-24 20:38:12,4.12,24.04,Private,4,6
180,2019-10-08 09:17:00,2019-10-09 09:17:00,24.0,40.95,Private,1,10
181,2019-04-30 18:27:00,2019-05-01 02:07:12,7.67,27.61,Private,4,4
182,2019-11-01 21:46:00,2019-11-02 00:29:12,2.72,9.79,Shared,5,11
183,2019-06-30 15:25:00,2019-06-30 17:45:24,2.34,16.85,Private,3,6
184,2019-05-10 20:09:00,2019-05-11 03:05:24,6.94,23.69,Shared,5,5
185,2019-01-17 18:47:00,2019-01-17 23:01:24,4.24,30.53,Private,4,1
186,2019-09-27 04:21:00,2019-09-27 12:30:36,8.16,29.38,Shared,7,9
187,2019-12-20 18:03:00,2019-12-21 00:57:00,6.9,49.68,Private,4,12
188,2019-09-22 16:42:00,2019-09-22 21:24:36,4.71,32.33,Private,4,9
189,2019-09-11 15:36:00,2019-09-11 18:20:24,2.74,9.86,Shared,3,9
190,2019-12-28 22:38:00,2019-12-29 00:21:12,1.72,12.38,Private,6,12
191,2019-12-26 15:22:00,2019-12-26 18:59:12,3.62,13.03,Private,3,12
192,2019-11-02 16:47:00,2019-11-03 01:48:12,9.02,25.05,Private,4,11
193,2019-06-11 17:10:00,2019-06-11 22:55:00,5.75,37.14,Private,4,6
194,2019-09-17 19:09:00,2019-09-17 21:13:12,2.07,7.45,Private,5,9
195,2019-01-11 15:31:00,2019-01-11 21:06:24,5.59,40.25,Private,3,1
196,2019-08-20 10:07:00,2019-08-20 16:36:24,6.49,46.73,Private,1,8
197,2019-08-27 19:14:00,2019-08-27 21:54:12,2.67,19.22,Private,5,8
198,2019-03-15 14:49:00,2019-03-15 20:20:12,5.52,19.87,Private,3,3
199,2019-01-31 08:27:00,2019-01-31 13:36:36,5.16,18.58,Private,0,1
200,2019-03-28 18:51:00,2019-03-28 21:04:48,2.23,16.06,Shared,4,3
201,2018-12-22 17:58:00,2018-12-23 00:19:36,6.36,22.9,Private,4,12
202,2019-09-20 18:26:00,2019-09-21 01:45:48,7.33,26.33,Private,4,9
203,2019-05-16 11:29:00,2019-05-16 22:03:12,10.57,24.85,Shared,1,5
204,2019-04-04 17:33:00,2019-04-05 03:54:36,10.36,37.3,Private,4,4
205,2019-05-23 12:04:00,2019-05-23 13:57:24,1.89,6.8,Private,2,5
206,2020-01-02 14:15:00,2020-01-02 16:49:12,2.57,9.25,Private,3,1
207,2019-10-05 11:04:00,2019-10-05 18:10:00,7.1,25.56,Private,1,10
208,2019-07-26 23:43:00,2019-07-27 06:49:00,7.1,51.12,Private,6,7
209,2019-02-16 17:28:00,2019-02-17 00:34:00,7.1,51.12,Private,4,2
210,2019-05-30 17:29:00,2019-05-31 17:29:00,24.0,22.07,Private,4,5
211,2019-04-26 06:39:00,2019-04-26 14:02:24,7.39,45.45,Private,0,4
212,2020-01-10 22:28:00,2020-01-11 09:26:12,10.97,37.68,Private,6,1
213,2019-02-16 03:06:00,2019-02-16 12:45:36,9.66,69.55,Private,7,2
214,2019-10-27 09:45:00,2019-10-27 17:33:36,7.81,56.23,Private,1,10
215,2019-10-09 10:58:00,2019-10-09 14:56:12,3.97,28.58,Shared,1,10
216,2019-11-13 21:41:00,2019-11-14 06:06:48,8.43,23.63,Private,5,11
217,2019-11-13 17:46:00,2019-11-13 20:38:48,2.88,10.37,Private,4,11
218,2019-02-11 02:41:00,2019-02-11 06:53:00,4.2,27.09,Shared,7,2
219,2019-01-13 15:41:00,2019-01-13 19:12:48,3.53,25.42,Shared,3,1
220,2020-01-29 05:58:00,2020-01-29 11:13:00,5.25,18.9,Private,7,1
221,2019-06-04 07:11:00,2019-06-05 07:11:00,24.0,38.8,Shared,0,6
222,2019-03-09 12:09:00,2019-03-09 13:29:24,1.34,4.82,Shared,2,3
223,2019-08-17 22:42:00,2019-08-18 06:42:36,8.01,57.67,Private,6,8
224,2019-10-02 14:11:00,2019-10-02 15:47:00,1.6,5.76,Private,3,10
225,2019-06-05 19:28:00,2019-06-05 23:01:36,3.56,25.63,Shared,5,6
226,2019-03-30 17:51:00,2019-03-31 04:27:36,10.61,69.72,Private,4,3
227,2019-11-13 03:29:00,2019-11-13 08:39:48,5.18,37.3,Private,7,11
228,2019-07-03 01:51:00,2019-07-03 04:10:48,2.33,8.39,Private,7,7
229,2019-08-04 04:59:00,2019-08-04 07:59:00,3.0,10.8,Private,7,8
230,2019-02-02 14:17:00,2019-02-02 22:15:12,7.97,57.38,Private,3,2
231,2019-07-12 09:52:00,2019-07-12 12:50:12,2.97,21.38,Shared,1,7
232,2019-07-01 08:23:00,2019-07-01 14:08:36,5.76,20.74,Private,0,7
233,2019-03-25 06:53:00,2019-03-25 11:59:36,5.11,36.79,Private,0,3
234,2019-04-26 03:44:00,2019-04-26 06:52:24,3.14,11.3,Private,7,4
235,2019-10-12 06:01:00,2019-10-13 04:13:36,22.21,31.86,Private,0,10
236,2019-12-08 20:07:00,2019-12-09 03:50:12,7.72,33.07,Private,5,12
237,2019-04-02 18:29:00,2019-04-02 19:41:00,1.2,4.32,Shared,4,4
238,2019-10-02 18:32:00,2019-10-03 00:10:24,5.64,20.3,Private,4,10
239,2018-12-01 19:36:00,2018-12-01 22:43:12,3.12,22.46,Shared,5,12
240,2019-08-26 00:33:00,2019-08-26 09:33:00,9.0,32.4,Private,7,8
241,2019-10-22 17:16:00,2019-10-22 20:06:24,2.84,10.22,Private,4,10
242,2019-04-03 22:49:00,2019-04-04 03:23:12,4.57,27.34,Private,6,4
243,2019-05-23 22:53:00,2019-05-24 05:56:00,7.05,50.76,Private,6,5
244,2019-03-04 22:45:00,2019-03-05 07:49:48,9.08,22.03,Private,6,3
245,2020-01-10 12:20:00,2020-01-10 14:28:24,2.14,15.41,Shared,2,1
246,2019-09-05 16:48:00,2019-09-05 20:43:12,3.92,14.11,Shared,4,9
247,2018-12-25 02:17:00,2018-12-25 05:50:00,3.55,12.78,Private,7,12
248,2019-06-23 23:21:00,2019-06-24 02:29:24,3.14,11.3,Private,6,6
249,2020-01-13 16:46:00,2020-01-14 09:48:24,17.04,24.34,Private,4,1
250,2020-01-26 13:20:00,2020-01-26 19:54:48,6.58,23.69,Shared,2,1
251,2019-05-06 18:27:00,2019-05-06 20:30:00,2.05,7.38,Private,4,5
252,2018-12-22 23:39:00,2018-12-23 09:04:12,9.42,35.1,Shared,6,12
253,2018-12-30 08:25:00,2018-12-31 06:17:48,21.88,48.22,Shared,0,12
254,2019-02-20 01:54:00,2019-02-20 12:06:00,10.2,21.91,Private,7,2
255,2020-01-03 20:24:00,2020-01-03 22:06:36,1.71,6.16,Shared,5,1
256,2019-06-08 14:36:00,2019-06-08 18:07:48,3.53,12.71,Private,3,6
257,2019-10-29 14:01:00,2019-10-30 02:02:12,12.02,43.27,Private,3,10
258,2019-09-14 10:45:00,2019-09-14 13:46:12,3.02,21.74,Private,1,9
259,2019-11-21 03:12:00,2019-11-21 09:57:36,6.76,24.34,Private,7,11
260,2019-02-27 03:05:00,2019-02-27 11:36:12,8.52,56.73,Shared,7,2
261,2019-09-08 17:54:00,2019-09-08 20:29:24,2.59,9.32,Shared,4,9
262,2019-10-23 10:32:00,2019-10-23 15:17:00,4.75,17.1,Private,1,10
263,2019-02-10 13:01:00,2019-02-10 13:31:36,0.51,3.67,Private,2,2
264,2020-01-16 01:39:00,2020-01-16 04:04:12,2.42,8.71,Private,7,1
265,2019-12-03 21:26:00,2019-12-04 01:35:00,4.15,29.88,Private,5,12
266,2019-05-12 20:29:00,2019-05-12 22:33:12,2.07,14.9,Shared,5,5
267,2019-09-09 19:49:00,2019-09-10 11:20:48,15.53,43.79,Shared,5,9
268,2018-12-29 22:19:00,2018-12-30 00:08:12,1.82,6.55,Shared,6,12
269,2019-03-26 15:54:00,2019-03-26 19:32:24,3.64,13.1,Private,3,3
270,2019-09-09 15:39:00,2019-09-09 21:04:48,5.43,19.55,Private,3,9
271,2019-09-24 11:39:00,2019-09-25 01:13:48,13.58,66.34,Private,1,9
272,2020-01-27 00:02:00,2020-01-27 01:50:36,1.81,13.03,Shared,7,1
273,2019-07-02 19:31:00,2019-07-03 06:41:48,11.18,55.3,Private,5,7
274,2019-04-05 23:19:00,2019-04-06 04:18:24,4.99,24.01,Private,6,4
275,2019-07-14 17:13:00,2019-07-14 19:42:24,2.49,17.93,Private,4,7
276,2019-12-03 15:25:00,2019-12-03 22:15:24,6.84,24.62,Private,3,12
277,2019-01-24 15:07:00,2019-01-24 20:48:24,5.69,40.97,Private,3,1
278,2018-12-26 15:55:00,2018-12-26 19:10:00,3.25,23.4,Shared,3,12
279,2019-02-20 23:12:00,2019-02-21 04:24:00,5.2,18.72,Private,6,2
280,2019-08-13 03:01:00,2019-08-13 06:47:48,3.78,13.61,Private,7,8
281,2019-04-03 13:03:00,2019-04-03 18:24:36,5.36,19.3,Private,2,4
282,2019-10-31 20:34:00,2019-11-01 04:26:12,7.87,28.33,Private,5,10
283,2019-04-15 23:23:00,2019-04-16 14:24:48,15.03,42.03,Private,6,4
284,2019-03-10 15:04:00,2019-03-10 17:08:48,2.08,14.98,Shared,3,3
285,2019-04-23 22:08:00,2019-04-24 20:11:00,22.05,41.66,Shared,6,4
286,2019-05-23 17:48:00,2019-05-23 19:03:36,1.26,4.54,Private,4,5
287,2019-08-14 06:08:00,2019-08-14 10:35:00,4.45,32.04,Private,0,8
288,2019-02-15 21:08:00,2019-02-16 04:36:48,7.48,53.86,Private,5,2
289,2019-06-20 05:53:00,2019-06-20 11:54:48,6.03,43.42,Private,7,6
290,2019-08-18 18:36:00,2019-08-18 21:48:00,3.2,23.04,Private,4,8
291,2019-05-19 20:37:00,2019-05-20 00:53:48,4.28,30.82,Shared,5,5
292,2019-11-18 21:30:00,2019-11-19 01:00:36,3.51,25.27,Shared,5,11
293,2020-01-02 19:46:00,2020-01-02 23:02:48,3.28,11.81,Private,5,1
294,2019-10-19 23:09:00,2019-10-20 08:07:48,8.98,21.74,Shared,6,10
295,2019-01-26 13:20:00,2019-01-26 19:41:36,6.36,28.33,Shared,2,1
296,2019-06-29 18:58:00,2019-06-29 22:01:00,3.05,21.96,Shared,4,6
297,2019-01-01 21:13:00,2019-01-02 06:31:00,9.3,66.96,Private,5,1
298,2019-06-11 14:29:00,2019-06-11 20:37:24,6.14,44.21,Shared,3,6
299,2019-12-05 21:16:00,2019-12-06 06:01:00,8.75,30.57,Private,5,12
300,2019-09-12 15:49:00,2019-09-12 23:31:00,7.7,55.44,Shared,3,9
301,2019-08-08 15:35:00,2019-08-08 18:21:12,2.77,19.94,Private,3,8
302,2019-09-05 15:52:00,2019-09-05 19:13:00,3.35,24.12,Shared,3,9
303,2019-04-28 08:05:00,2019-04-28 16:26:36,8.36,60.19,Shared,0,4
304,2019-12-18 16:52:00,2019-12-19 00:27:24,7.59,54.65,Shared,4,12
305,2019-02-09 11:37:00,2019-02-09 16:29:48,4.88,17.57,Shared,1,2
306,2019-08-29 12:03:00,2019-08-29 17:25:48,5.38,19.37,Shared,2,8
307,2019-01-21 19:00:00,2019-01-22 07:06:36,12.11,42.38,Shared,5,1
308,2019-08-01 16:48:00,2019-08-01 20:04:12,3.27,23.54,Private,4,8
309,2019-12-29 11:14:00,2019-12-29 18:29:36,7.26,26.14,Private,1,12
310,2019-03-01 00:53:00,2019-03-01 05:11:00,4.3,30.96,Private,7,3
311,2019-12-19 02:56:00,2019-12-19 07:11:00,4.25,15.3,Private,7,12
312,2019-01-24 02:18:00,2019-01-24 12:59:24,10.69,74.4,Private,7,1
313,2019-08-10 01:54:00,2019-08-10 10:43:48,8.83,35.01,Shared,7,8
314,2019-05-19 10:41:00,2019-05-19 19:26:00,8.75,59.52,Private,1,5
315,2019-05-22 22:11:00,2019-05-23 10:32:00,12.35,65.48,Private,6,5
316,2019-01-14 16:11:00,2019-01-14 21:12:48,5.03,18.11,Shared,4,1
317,2018-12-04 14:28:00,2018-12-04 22:26:48,7.98,57.46,Private,3,12
318,2019-12-06 20:41:00,2019-12-07 00:40:24,3.99,28.73,Private,5,12
319,2019-01-30 16:25:00,2019-01-30 22:37:36,6.21,44.71,Private,4,1
320,2019-05-01 14:14:00,2019-05-01 18:45:12,4.52,16.27,Private,3,5
321,2019-10-07 15:48:00,2019-10-07 21:06:00,5.3,19.08,Shared,3,10
