user_id,user_type,hour,uncontrolled_3_6kw,uncontrolled_7_2kw,flexible_3_6kw,flexible_7_2kw
7,Private,15,3.843,7.194,0.142,0.266
7,Private,16,4.559,9.111,0.0,0.0
7,Private,17,0.795,1.558,0.203,0.37
7,Private,18,1.159,2.423,0.0,0.0
7,Private,19,0.0,0.0,0.236,0.445
7,Private,20,0.872,1.619,0.716,1.473
7,Private,21,0.034,0.066,0.596,1.094
7,Private,22,1.998,3.859,2.924,5.756
7,Private,23,0.023,0.044,2.913,5.301
8,Shared,0,0.728,1.411,3.263,6.779
8,Shared,1,0.401,0.742,3.62,7.0
8,Shared,2,0.118,0.221,2.434,4.775
8,Shared,3,1.318,2.723,2.241,4.538
8,Shared,4,0.61,1.232,4.182,7.919
8,Shared,5,0.713,1.343,2.657,5.551
8,Shared,6,0.689,1.433,0.162,0.33
8,Shared,7,0.807,1.554,0.418,0.791
8,Shared,8,0.159,0.329,0.788,1.652
8,Shared,9,0.852,1.55,0.442,0.809
8,Shared,10,0.381,0.731,0.643,1.26
8,Shared,11,0.581,1.149,0.28,0.538
8,Shared,12,0.216,0.404,0.0,0.0
8,Shared,13,1.092,1.972,0.02,0.039
8,Shared,14,0.259,0.516,0.0,0.0
8,Shared,15,1.097,2.063,0.0,0.0
8,Shared,16,3.536,6.413,0.185,0.35
8,Shared,17,2.565,5.131,0.0,0.0
8,Shared,18,3.782,7.642,0.0,0.0
8,Shared,19,4.171,8.014,0.528,1.093
8,Shared,20,3.988,7.19,0.835,1.636
8,Shared,21,0.675,1.225,0.414,0.829
8,Shared,22,0.404,0.842,3.943,8.159
8,Shared,23,1.791,3.497,3.064,6.086
9,Shared,0,0.929,1.751,3.549,7.398
9,Shared,1,0.641,1.309,2.824,5.24
9,Shared,2,1.192,2.334,3.088,5.716
9,Shared,3,0.819,1.49,2.76,5.138
9,Shared,4,0.0,0.0,3.145,5.693
9,Shared,5,1.209,2.517,2.979,5.849
9,Shared,6,1.496,2.79,0.0,0.0
9,Shared,7,0.15,0.308,0.156,0.284
9,Shared,8,0.675,1.329,0.457,0.917
9,Shared,9,0.302,0.59,0.673,1.25
9,Shared,10,1.782,3.695,0.166,0.337
9,Shared,11,1.395,2.758,0.0,0.0
9,Shared,12,1.301,2.632,0.557,1.004
9,Shared,13,1.186,2.256,0.174,0.347
9,Shared,14,2.005,3.611,0.0,0.0
9,Shared,15,3.262,6.385,0.0,0.0
9,Shared,16,3.666,6.904,0.029,0.053
9,Shared,17,3.155,5.756,0.0,0.0
9,Shared,18,3.214,6.183,0.584,1.153
9,Shared,19,0.363,0.732,0.0,0.0
9,Shared,20,0.473,0.949,0.302,0.58
9,Shared,21,0.966,1.974,0.0,0.0
9,Shared,22,1.272,2.379,3.577,7.22
9,Shared,23,0.153,0.305,2.71,5.6
10,Private,0,0.477,0.974,2.788,5.672
10,Private,1,0.841,1.54,2.359,4.299
10,Private,2,0.116,0.221,3.614,6.73
10,Private,3,0.219,0.432,3.508,6.699
10,Private,4,0.912,1.779,2.409,4.516
10,Private,5,1.063,2.211,3.018,5.512
10,Private,6,0.474,0.91,0.268,0.488
10,Private,7,0.976,1.772,0.435,0.814
10,Private,8,1.356,2.646,0.327,0.596
10,Private,9,0.0,0.0,0.009,0.018
10,Private,10,2.309,4.471,0.441,0.796
10,Private,11,1.999,3.905,0.682,1.291
10,Private,12,0.851,1.786,0.289,0.561
10,Private,13,0.7,1.347,0.0,0.0
10,Private,14,0.73,1.369,0.616,1.203
10,Private,15,0.396,0.713,0.328,0.659
10,Private,16,1.18,2.212,0.0,0.0
10,Private,17,0.476,0.925,0.0,0.0
10,Private,18,0.276,0.541,0.0,0.0
10,Private,19,3.114,6.02,0.691,1.375
10,Private,20,3.106,6.151,0.226,0.443
10,Private,21,3.328,6.895,0.604,1.19
10,Private,22,4.308,8.972,3.371,7.075
10,Private,23,3.765,7.655,2.977,6.156
11,Shared,0,0.076,0.155,3.76,7.497
11,Shared,1,0.31,0.606,3.299,6.209
11,Shared,2,1.292,2.547,2.86,5.362
11,Shared,3,1.281,2.428,3.335,6.831
11,Shared,4,1.653,3.185,2.891,5.652
11,Shared,5,0.026,0.048,2.878,5.998
11,Shared,6,0.833,1.693,0.201,0.364
11,Shared,7,0.508,0.94,0.0,0.0
11,Shared,8,0.974,1.903,0.89,1.628
11,Shared,9,0.971,1.946,0.399,0.759
11,Shared,10,1.029,2.099,0.323,0.647
11,Shared,11,1.223,2.491,0.322,0.652
11,Shared,12,0.551,1.03,0.0,0.0
11,Shared,13,0.586,1.177,0.293,0.571
11,Shared,14,3.429,6.202,0.293,0.587
11,Shared,15,3.837,7.228,0.48,0.935
11,Shared,16,4.293,9.009,0.208,0.392
11,Shared,17,2.894,6.063,0.056,0.115
11,Shared,18,3.624,7.134,0.0,0.0
11,Shared,19,1.47,2.759,0.231,0.446
11,Shared,20,0.926,1.942,0.672,1.388
11,Shared,21,0.38,0.702,0.387,0.811
11,Shared,22,0.661,1.23,2.994,5.766
11,Shared,23,0.303,0.571,3.66,7.078
12,Private,0,0.517,0.959,3.312,6.773
12,Private,1,0.0,0.0,3.485,7.293
12,Private,2,1.288,2.483,3.095,5.636
12,Private,3,0.597,1.241,3.204,6.539
12,Private,4,1.956,3.597,2.425,4.694
12,Private,5,1.142,2.388,2.732,4.938
12,Private,6,0.709,1.365,0.091,0.184
12,Private,7,0.489,0.97,0.176,0.351
12,Private,8,0.108,0.205,0.551,1.003
12,Private,9,0.0,0.0,0.374,0.736
12,Private,10,0.544,1.12,0.0,0.0
12,Private,11,0.829,1.582,0.0,0.0
12,Private,12,0.741,1.35,0.0,0.0
12,Private,13,0.969,1.904,0.0,0.0
12,Private,14,0.476,0.994,0.286,0.55
12,Private,15,0.303,0.63,0.159,0.298
12,Private,16,0.0,0.0,0.407,0.823
12,Private,17,1.673,3.429,1.185,2.281
12,Private,18,3.649,6.662,0.464,0.955
12,Private,19,2.638,4.964,0.721,1.346
12,Private,20,4.019,7.815,0.006,0.012
12,Private,21,4.268,8.317,0.088,0.172
12,Private,22,3.353,6.602,3.231,6.483
12,Private,23,0.146,0.275,3.428,6.519
13,Private,0,0.15,0.294,2.682,5.376
13,Private,1,0.229,0.467,3.333,6.911
13,Private,2,0.387,0.719,2.575,4.86
13,Private,3,0.393,0.771,3.048,6.004
13,Private,4,0.082,0.152,2.645,5.363
13,Private,5,1.86,3.843,2.75,5.261
13,Private,6,0.546,1.029,0.048,0.09
13,Private,7,0.492,0.933,0.404,0.749
13,Private,8,1.232,2.525,0.07,0.134
13,Private,9,0.052,0.104,0.639,1.18
13,Private,10,0.669,1.402,0.803,1.641
13,Private,11,0.0,0.0,0.25,0.475
13,Private,12,1.756,3.666,0.053,0.104
13,Private,13,3.478,7.213,0.286,0.593
13,Private,14,3.298,6.687,0.068,0.137
13,Private,15,3.418,7.139,0.0,0.0
13,Private,16,4.264,8.201,0.346,0.702
13,Private,17,3.735,7.383,0.471,0.848
13,Private,18,0.577,1.183,0.0,0.0
13,Private,19,0.395,0.808,0.181,0.378
13,Private,20,0.148,0.28,0.0,0.0
13,Private,21,0.441,0.806,0.945,1.745
13,Private,22,0.0,0.0,2.995,6.13
13,Private,23,1.652,3.438,3.104,6.064
14,Private,0,1.127,2.319,3.096,5.587
14,Private,1,0.36,0.693,2.253,4.632
14,Private,2,0.831,1.649,2.781,5.501
14,Private,3,0.288,0.598,2.88,5.187
14,Private,4,1.662,3.239,3.926,7.921
14,Private,5,0.837,1.633,2.893,5.75
14,Private,6,0.084,0.156,0.349,0.637
14,Private,7,1.683,3.094,0.091,0.172
14,Private,8,0.0,0.0,0.421,0.817
14,Private,9,1.252,2.391,0.0,0.0
14,Private,10,0.815,1.555,0.342,0.62
14,Private,11,0.681,1.407,0.0,0.0
14,Private,12,1.269,2.455,0.035,0.067
14,Private,13,0.0,0.0,0.0,0.0
14,Private,14,1.401,2.611,0.402,0.742
14,Private,15,0.768,1.399,0.022,0.04
14,Private,16,0.434,0.899,0.0,0.0
14,Private,17,3.367,6.816,0.0,0.0
14,Private,18,3.203,6.093,0.068,0.124
14,Private,19,3.929,8.12,0.166,0.348
14,Private,20,4.029,7.831,0.666,1.303
14,Private,21,4.171,8.291,0.349,0.728
14,Private,22,0.726,1.369,2.707,4.914
14,Private,23,1.12,2.152,3.665,7.453
15,Shared,0,0.905,1.854,3.75,7.209
15,Shared,1,0.0,0.0,2.645,5.296
15,Shared,2,1.182,2.151,3.155,6.004
15,Shared,3,1.429,2.994,3.054,5.901
15,Shared,4,0.251,0.482,2.983,6.089
15,Shared,5,0.0,0.0,2.654,5.01
15,Shared,6,1.245,2.381,0.494,0.978
15,Shared,7,0.916,1.842,0.0,0.0
15,Shared,8,0.526,0.96,0.0,0.0
15,Shared,9,1.355,2.748,0.0,0.0
15,Shared,10,0.134,0.274,0.191,0.393
15,Shared,11,0.374,0.783,0.714,1.355
15,Shared,12,0.323,0.614,0.0,0.0
15,Shared,13,0.0,0.0,0.169,0.344
15,Shared,14,0.417,0.799,0.0,0.0
15,Shared,15,1.362,2.768,0.42,0.779
15,Shared,16,0.705,1.274,0.671,1.247
15,Shared,17,1.078,2.222,0.0,0.0
15,Shared,18,3.039,6.211,0.474,0.897
15,Shared,19,3.814,7.671,0.241,0.503
15,Shared,20,3.143,6.212,0.399,0.763
15,Shared,21,3.192,5.794,0.143,0.288
15,Shared,22,4.381,9.009,2.822,5.694
15,Shared,23,0.0,0.0,2.681,5.239
16,Shared,0,1.257,2.472,3.152,5.946
16,Shared,1,0.65,1.226,2.877,5.196
16,Shared,2,0.982,1.891,2.754,5.141
16,Shared,3,0.885,1.674,2.797,5.408
16,Shared,4,0.235,0.447,2.831,5.213
16,Shared,5,0.517,1.046,3.042,5.586
16,Shared,6,0.847,1.668,0.0,0.0
16,Shared,7,0.284,0.55,0.039,0.071
16,Shared,8,1.533,2.835,0.0,0.0
16,Shared,9,0.808,1.671,0.718,1.337
16,Shared,10,0.011,0.02,0.322,0.642
16,Shared,11,0.287,0.542,0.0,0.0
16,Shared,12,0.286,0.595,0.0,0.0
16,Shared,13,2.19,3.998,0.484,0.9
16,Shared,14,1.315,2.759,0.357,0.719
16,Shared,15,0.0,0.0,0.322,0.622
16,Shared,16,1.299,2.576,0.0,0.0
16,Shared,17,1.241,2.249,0.434,0.805
16,Shared,18,1.72,3.303,0.03,0.061
16,Shared,19,0.127,0.261,0.05,0.098
16,Shared,20,4.375,8.047,0.0,0.0
16,Shared,21,2.483,4.754,0.212,0.395
16,Shared,22,3.361,6.472,3.063,5.924
16,Shared,23,4.11,8.048,2.861,5.32
17,Shared,0,0.0,0.0,3.796,7.73
17,Shared,1,0.181,0.341,2.679,5.012
17,Shared,2,1.316,2.561,2.922,5.683
17,Shared,3,0.686,1.313,3.234,6.293
17,Shared,4,1.305,2.49,2.94,5.804
17,Shared,5,1.541,3.094,2.291,4.262
17,Shared,6,1.13,2.078,0.0,0.0
17,Shared,7,1.461,2.749,0.231,0.457
17,Shared,8,0.357,0.694,0.419,0.813
17,Shared,9,1.202,2.376,0.411,0.798
17,Shared,10,0.164,0.311,0.006,0.012
17,Shared,11,0.718,1.504,0.165,0.337
17,Shared,12,1.125,2.035,0.0,0.0
17,Shared,13,0.901,1.712,0.076,0.152
17,Shared,14,0.267,0.554,0.0,0.0
17,Shared,15,0.604,1.2,0.0,0.0
17,Shared,16,0.341,0.706,0.0,0.0
17,Shared,17,3.888,8.078,0.0,0.0
17,Shared,18,3.484,6.665,0.735,1.453
17,Shared,19,4.137,7.948,0.505,0.951
17,Shared,20,3.33,6.115,0.375,0.751
17,Shared,21,3.474,6.656,0.109,0.205
17,Shared,22,0.941,1.848,2.845,5.485
17,Shared,23,1.526,2.979,3.002,6.295
18,Private,0,1.054,2.061,3.584,6.966
18,Private,1,1.277,2.461,2.553,5.028
18,Private,2,0.96,1.751,3.366,7.022
18,Private,3,1.202,2.208,2.659,5.339
18,Private,4,0.365,0.692,3.418,6.192
18,Private,5,0.309,0.623,2.952,5.866
18,Private,6,1.571,3.115,0.163,0.327
18,Private,7,0.328,0.668,0.0,0.0
18,Private,8,0.9,1.695,0.0,0.0
18,Private,9,0.586,1.134,0.3,0.573
18,Private,10,1.422,2.676,0.42,0.848
18,Private,11,0.334,0.649,0.604,1.162
18,Private,12,3.438,6.251,0.0,0.0
18,Private,13,3.507,6.797,0.698,1.392
18,Private,14,3.689,7.248,0.185,0.348
18,Private,15,4.484,8.145,0.0,0.0
18,Private,16,2.906,5.31,0.0,0.0
18,Private,17,0.921,1.827,0.24,0.499
18,Private,18,1.553,2.973,0.268,0.483
18,Private,19,0.502,0.971,0.181,0.335
18,Private,20,0.784,1.543,0.0,0.0
18,Private,21,2.184,4.081,0.367,0.706
18,Private,22,0.833,1.737,3.281,6.506
18,Private,23,1.103,2.024,3.009,6.232
19,Private,0,0.379,0.743,3.276,6.369
19,Private,1,0.928,1.671,2.768,5.58
19,Private,2,1.486,2.834,3.166,5.8
19,Private,3,1.114,2.198,3.561,7.128
19,Private,4,0.732,1.365,3.174,6.477
19,Private,5,1.157,2.301,2.799,5.865
19,Private,6,0.749,1.437,0.225,0.469
19,Private,7,0.204,0.418,1.014,2.108
19,Private,8,0.0,0.0,0.0,0.0
19,Private,9,1.43,2.905,0.437,0.888
19,Private,10,0.166,0.339,0.399,0.816
19,Private,11,1.513,2.765,0.169,0.354
19,Private,12,2.123,4.317,0.0,0.0
19,Private,13,1.095,2.103,0.6,1.153
19,Private,14,1.201,2.425,0.106,0.214
19,Private,15,0.563,1.157,0.34,0.654
19,Private,16,1.161,2.23,0.397,0.742
19,Private,17,4.162,7.774,0.0,0.0
19,Private,18,3.477,6.475,0.0,0.0
19,Private,19,3.391,6.35,0.545,1.134
19,Private,20,3.658,6.741,1.118,2.281
19,Private,21,3.704,6.811,0.201,0.403
19,Private,22,0.777,1.542,2.83,5.452
19,Private,23,0.689,1.246,3.466,6.502
20,Private,0,0.782,1.541,2.774,5.37
20,Private,1,0.22,0.447,2.898,5.412
20,Private,2,0.76,1.436,3.49,7.291
20,Private,3,0.0,0.0,2.945,6.023
20,Private,4,0.798,1.668,2.4,4.788
20,Private,5,0.27,0.509,2.815,5.178
20,Private,6,0.29,0.579,0.249,0.477
20,Private,7,0.633,1.149,0.0,0.0
20,Private,8,0.951,1.721,0.8,1.458
20,Private,9,1.605,2.974,0.0,0.0
20,Private,10,1.032,1.935,0.116,0.218
20,Private,11,0.804,1.57,0.037,0.073
20,Private,12,0.783,1.625,0.235,0.479
20,Private,13,0.407,0.805,0.0,0.0
20,Private,14,0.478,0.911,0.264,0.543
20,Private,15,1.043,1.978,0.487,0.919
20,Private,16,3.333,6.354,0.282,0.552
20,Private,17,4.12,8.181,0.6,1.188
20,Private,18,3.568,6.463,0.1,0.182
20,Private,19,3.703,6.854,0.0,0.0
20,Private,20,3.495,6.385,0.448,0.928
20,Private,21,1.067,1.963,0.083,0.157
20,Private,22,0.838,1.747,2.763,5.713
20,Private,23,1.1,2.021,3.032,5.743
21,Private,0,0.571,1.146,2.93,5.885
21,Private,1,0.686,1.265,2.899,5.586
21,Private,2,1.075,2.07,2.918,5.993
21,Private,3,1.58,3.153,3.587,6.644
21,Private,4,0.239,0.462,3.085,6.402
21,Private,5,0.369,0.77,2.942,5.799
21,Private,6,1.801,3.701,0.069,0.141
21,Private,7,0.915,1.709,0.375,0.768
21,Private,8,0.18,0.348,0.0,0.0
21,Private,9,0.069,0.131,0.0,0.0
21,Private,10,0.0,0.0,0.376,0.707
21,Private,11,1.829,3.729,0.233,0.451
21,Private,12,0.0,0.0,0.0,0.0
21,Private,13,0.472,0.973,0.0,0.0
21,Private,14,1.184,2.467,0.472,0.975
21,Private,15,0.096,0.197,0.441,0.915
21,Private,16,1.544,3.136,0.865,1.571
21,Private,17,2.267,4.362,0.0,0.0
21,Private,18,2.245,4.185,0.052,0.102
21,Private,19,0.4,0.728,0.298,0.595
21,Private,20,3.286,6.78,0.324,0.631
21,Private,21,2.887,5.409,0.094,0.174
21,Private,22,4.294,8.255,3.039,6.224
21,Private,23,3.676,6.851,3.231,6.431
22,Private,0,1.352,2.548,2.464,4.988
22,Private,1,1.036,1.904,2.963,5.919
22,Private,2,0.81,1.473,3.442,6.981
22,Private,3,0.075,0.147,2.695,5.447
22,Private,4,0.0,0.0,2.862,5.732
22,Private,5,1.438,2.776,3.017,5.705
22,Private,6,0.0,0.0,0.005,0.01
22,Private,7,0.0,0.0,0.0,0.0
22,Private,8,0.93,1.846,0.0,0.0
22,Private,9,1.321,2.58,0.154,0.305
22,Private,10,0.766,1.584,0.08,0.16
22,Private,11,1.137,2.329,0.462,0.968
22,Private,12,0.901,1.714,0.383,0.783
22,Private,13,0.605,1.137,0.375,0.695
22,Private,14,0.538,1.07,0.181,0.378
22,Private,15,0.572,1.103,0.015,0.031
22,Private,16,0.348,0.682,0.348,0.717
22,Private,17,4.308,8.796,0.602,1.2
22,Private,18,2.921,5.693,0.644,1.35
22,Private,19,3.428,6.257,0.396,0.803
22,Private,20,3.111,6.33,0.231,0.485
22,Private,21,3.769,7.105,0.0,0.0
22,Private,22,1.048,2.136,3.545,7.282
22,Private,23,0.626,1.173,3.55,7.204
23,Shared,0,0.618,1.237,3.366,6.683
23,Shared,1,0.0,0.0,3.931,7.943
23,Shared,2,1.528,2.759,2.958,5.945
23,Shared,3,0.0,0.0,3.164,6.615
23,Shared,4,0.0,0.0,3.22,5.846
23,Shared,5,0.942,1.793,2.721,5.66
23,Shared,6,1.325,2.691,0.47,0.905
23,Shared,7,1.247,2.376,0.183,0.337
23,Shared,8,0.0,0.0,0.532,0.961
23,Shared,9,0.574,1.141,0.0,0.0
23,Shared,10,1.45,2.652,0.936,1.951
23,Shared,11,0.698,1.408,0.957,1.944
23,Shared,12,0.769,1.489,0.043,0.086
23,Shared,13,0.38,0.702,0.769,1.439
23,Shared,14,0.299,0.538,0.445,0.817
23,Shared,15,0.418,0.82,0.014,0.027
23,Shared,16,1.276,2.384,0.043,0.087
23,Shared,17,0.501,1.019,0.588,1.106
23,Shared,18,1.583,3.245,0.412,0.757
23,Shared,19,3.246,5.859,0.0,0.0
23,Shared,20,3.643,7.293,0.296,0.538
23,Shared,21,3.067,6.431,0.44,0.895
23,Shared,22,3.646,7.363,2.442,4.55
23,Shared,23,3.098,6.111,2.879,5.989
24,Private,0,0.681,1.34,3.74,7.005
24,Private,1,0.849,1.752,2.757,5.246
24,Private,2,0.839,1.558,2.933,5.303
24,Private,3,0.895,1.621,3.269,6.629
24,Private,4,1.373,2.733,3.051,6.191
24,Private,5,1.605,2.99,3.387,6.286
24,Private,6,0.338,0.672,0.976,2.014
24,Private,7,0.897,1.653,0.0,0.0
24,Private,8,1.613,3.233,0.928,1.884
24,Private,9,0.702,1.341,0.0,0.0
24,Private,10,0.627,1.303,0.437,0.917
24,Private,11,1.41,2.884,0.385,0.796
24,Private,12,0.775,1.465,0.719,1.402
24,Private,13,0.551,1.055,0.551,1.049
24,Private,14,0.564,1.172,0.335,0.658
24,Private,15,0.659,1.23,0.16,0.335
24,Private,16,0.516,0.964,0.664,1.244
24,Private,17,0.324,0.64,0.0,0.0
24,Private,18,1.865,3.397,0.532,1.05
24,Private,19,2.312,4.405,0.0,0.0
24,Private,20,2.622,5.117,0.0,0.0
24,Private,21,1.905,3.683,0.131,0.253
24,Private,22,2.983,6.194,3.082,6.274
24,Private,23,2.722,5.332,3.09,6.355
25,Shared,0,0.496,0.965,3.601,7.266
25,Shared,1,1.482,3.037,3.343,6.26
25,Shared,2,0.544,1.052,3.775,7.02
25,Shared,3,0.0,0.0,2.555,4.654
25,Shared,4,0.675,1.337,3.871,7.47
25,Shared,5,0.611,1.166,2.994,5.967
25,Shared,6,0.0,0.0,0.521,1.044
25,Shared,7,1.235,2.331,0.464,0.94
25,Shared,8,0.38,0.756,0.0,0.0
25,Shared,9,0.022,0.045,0.21,0.425
25,Shared,10,0.137,0.261,0.0,0.0
25,Shared,11,0.491,0.982,0.004,0.008
25,Shared,12,0.429,0.821,0.348,0.675
25,Shared,13,0.763,1.578,0.076,0.158
25,Shared,14,0.819,1.584,0.0,0.0
25,Shared,15,0.777,1.587,0.234,0.457
25,Shared,16,0.0,0.0,0.538,1.041
25,Shared,17,3.124,5.931,0.213,0.434
